-5.0	[30.576575678955926, 34.94993386286773, 47.87354831265564, 49.40985546851302, 38.13561647146446, 7.917026322954005, 28.27516040355766, 28.58437939492508, 26.116071446932683, 49.93187943875698, 67.33697643153691]	[0.41365161623664587, 1.7528836453420622, 30.35941986685686, 57.56777607949037, 37.986585076298496, 18.015230166795376, 75.00995508561802, 65.17184577327961, 69.94165211758975, 96.31513542098189, 99.27211073568311]	[30.07498830887063, 30.348563423875653, 39.39231187896817, 50.44299474851679, 9.55644040884537, 0.22653808771017558, 45.56365803832521, 50.59470016538638, 54.46390273783936, 68.74178773399461, 69.83031500103584]	[20.382570472523394, 21.123131191620935, 32.852513417584895, 47.900266813024025, 24.03292572201794, 8.43169224980978, 60.874261203779746, 70.58540475659089, 68.16926211316441, 76.73615519079829, 78.55361175611375]	[72.72813291506512, 78.52027838756122, 88.83772819518589, 89.75241766847068, 71.82376919999254, 4.1051571740623425, 36.84741831361176, 76.46798511801258, 44.78338436580554, 30.461391733741166, 30.177762588184244]	[50.00476890938705, 50.013089696405885, 50.01684403653608, 50.03017241728453, 49.8300186043652, 3.8978466791273774, 31.95991550743275, 50.217502101981594, 33.05401602806, 46.81927940795966, 49.3760602467692]	[10.49475280683613, 11.575201046563603, 25.613821068067388, 38.63000734202724, 19.93474508044033, 2.025323386343849, 41.280975318986506, 32.01383562182133, 33.89414459565285, 61.700880400121186, 82.39630448200298]	
-4.0	[30.576575678955926, 34.94993386286773, 47.87354831265564, 49.40985546851302, 38.13561647146446, 7.917026322954005, 28.27516040355766, 28.58437939492508, 26.116071446932683, 49.93187943875698, 67.33697643153691]	[0.41365161623664587, 1.7528836453420622, 30.35941986685686, 57.56777607949037, 37.986585076298496, 18.015230166795376, 75.00995508561802, 65.17184577327961, 69.94165211758975, 96.31513542098189, 99.27211073568311]	[30.07498830887063, 30.348563423875653, 39.39231187896817, 50.44299474851679, 9.55644040884537, 0.22653808771017558, 45.56365803832521, 50.59470016538638, 54.46390273783936, 68.74178773399461, 69.83031500103584]	[20.382570472523394, 21.123131191620935, 32.852513417584895, 47.900266813024025, 24.03292572201794, 8.43169224980978, 60.874261203779746, 70.58540475659089, 68.16926211316441, 76.73615519079829, 78.55361175611375]	[72.72813291506512, 78.52027838756122, 88.83772819518589, 89.75241766847068, 71.82376919999254, 4.1051571740623425, 36.84741831361176, 76.46798511801258, 44.78338436580554, 30.461391733741166, 30.177762588184244]	[50.00476890938705, 50.013089696405885, 50.01684403653608, 50.03017241728453, 49.8300186043652, 3.8978466791273774, 31.95991550743275, 50.217502101981594, 33.05401602806, 46.81927940795966, 49.3760602467692]	[10.49475280683613, 11.575201046563603, 25.613821068067388, 38.63000734202724, 19.93474508044033, 2.025323386343849, 41.280975318986506, 32.01383562182133, 33.89414459565285, 61.700880400121186, 82.39630448200298]	
-3.0	[30.576575678955926, 34.94993386286773, 47.87354831265564, 49.40985546851302, 38.13561647146446, 7.917026322954005, 28.27516040355766, 28.58437939492508, 26.116071446932683, 49.93187943875698, 67.33697643153691]	[0.41365161623664587, 1.7528836453420622, 30.35941986685686, 57.56777607949037, 37.986585076298496, 18.015230166795376, 75.00995508561802, 65.17184577327961, 69.94165211758975, 96.31513542098189, 99.27211073568311]	[30.07498830887063, 30.348563423875653, 39.39231187896817, 50.44299474851679, 9.55644040884537, 0.22653808771017558, 45.56365803832521, 50.59470016538638, 54.46390273783936, 68.74178773399461, 69.83031500103584]	[20.382570472523394, 21.123131191620935, 32.852513417584895, 47.900266813024025, 24.03292572201794, 8.43169224980978, 60.874261203779746, 70.58540475659089, 68.16926211316441, 76.73615519079829, 78.55361175611375]	[72.72813291506512, 78.52027838756122, 88.83772819518589, 89.75241766847068, 71.82376919999254, 4.1051571740623425, 36.84741831361176, 76.46798511801258, 44.78338436580554, 30.461391733741166, 30.177762588184244]	[50.00476890938705, 50.013089696405885, 50.01684403653608, 50.03017241728453, 49.8300186043652, 3.8978466791273774, 31.95991550743275, 50.217502101981594, 33.05401602806, 46.81927940795966, 49.3760602467692]	[10.49475280683613, 11.575201046563603, 25.613821068067388, 38.63000734202724, 19.93474508044033, 2.025323386343849, 41.280975318986506, 32.01383562182133, 33.89414459565285, 61.700880400121186, 82.39630448200298]	
-2.0	[30.576575678955926, 34.94993386286773, 47.87354831265564, 49.40985546851302, 38.13561647146446, 7.917026322954005, 28.27516040355766, 28.58437939492508, 26.116071446932683, 49.93187943875698, 67.33697643153691]	[0.41365161623664587, 1.7528836453420622, 30.35941986685686, 57.56777607949037, 37.986585076298496, 18.015230166795376, 75.00995508561802, 65.17184577327961, 69.94165211758975, 96.31513542098189, 99.27211073568311]	[30.07498830887063, 30.348563423875653, 39.39231187896817, 50.44299474851679, 9.55644040884537, 0.22653808771017558, 45.56365803832521, 50.59470016538638, 54.46390273783936, 68.74178773399461, 69.83031500103584]	[20.382570472523394, 21.123131191620935, 32.852513417584895, 47.900266813024025, 24.03292572201794, 8.43169224980978, 60.874261203779746, 70.58540475659089, 68.16926211316441, 76.73615519079829, 78.55361175611375]	[72.72813291506512, 78.52027838756122, 88.83772819518589, 89.75241766847068, 71.82376919999254, 4.1051571740623425, 36.84741831361176, 76.46798511801258, 44.78338436580554, 30.461391733741166, 30.177762588184244]	[50.00476890938705, 50.013089696405885, 50.01684403653608, 50.03017241728453, 49.8300186043652, 3.8978466791273774, 31.95991550743275, 50.217502101981594, 33.05401602806, 46.81927940795966, 49.3760602467692]	[10.49475280683613, 11.575201046563603, 25.613821068067388, 38.63000734202724, 19.93474508044033, 2.025323386343849, 41.280975318986506, 32.01383562182133, 33.89414459565285, 61.700880400121186, 82.39630448200298]	
-1.0	[30.576575678955926, 34.94993386286773, 47.87354831265564, 49.40985546851302, 38.13561647146446, 7.917026322954005, 28.27516040355766, 28.58437939492508, 26.116071446932683, 49.93187943875698, 67.33697643153691]	[0.41365161623664587, 1.7528836453420622, 30.35941986685686, 57.56777607949037, 37.986585076298496, 18.015230166795376, 75.00995508561802, 65.17184577327961, 69.94165211758975, 96.31513542098189, 99.27211073568311]	[30.07498830887063, 30.348563423875653, 39.39231187896817, 50.44299474851679, 9.55644040884537, 0.22653808771017558, 45.56365803832521, 50.59470016538638, 54.46390273783936, 68.74178773399461, 69.83031500103584]	[20.382570472523394, 21.123131191620935, 32.852513417584895, 47.900266813024025, 24.03292572201794, 8.43169224980978, 60.874261203779746, 70.58540475659089, 68.16926211316441, 76.73615519079829, 78.55361175611375]	[72.72813291506512, 78.52027838756122, 88.83772819518589, 89.75241766847068, 71.82376919999254, 4.1051571740623425, 36.84741831361176, 76.46798511801258, 44.78338436580554, 30.461391733741166, 30.177762588184244]	[50.00476890938705, 50.013089696405885, 50.01684403653608, 50.03017241728453, 49.8300186043652, 3.8978466791273774, 31.95991550743275, 50.217502101981594, 33.05401602806, 46.81927940795966, 49.3760602467692]	[10.49475280683613, 11.575201046563603, 25.613821068067388, 38.63000734202724, 19.93474508044033, 2.025323386343849, 41.280975318986506, 32.01383562182133, 33.89414459565285, 61.700880400121186, 82.39630448200298]	
0.0	[30.576575678955926, 34.94993386286773, 47.87354831265564, 49.40985546851302, 38.13561647146446, 7.917026322954005, 28.27516040355766, 28.58437939492508, 26.116071446932683, 49.93187943875698, 67.33697643153691]	[0.41365161623664587, 1.7528836453420622, 30.35941986685686, 57.56777607949037, 37.986585076298496, 18.015230166795376, 75.00995508561802, 65.17184577327961, 69.94165211758975, 96.31513542098189, 99.27211073568311]	[30.07498830887063, 30.348563423875653, 39.39231187896817, 50.44299474851679, 9.55644040884537, 0.22653808771017558, 45.56365803832521, 50.59470016538638, 54.46390273783936, 68.74178773399461, 69.83031500103584]	[20.382570472523394, 21.123131191620935, 32.852513417584895, 47.900266813024025, 24.03292572201794, 8.43169224980978, 60.874261203779746, 70.58540475659089, 68.16926211316441, 76.73615519079829, 78.55361175611375]	[72.72813291506512, 78.52027838756122, 88.83772819518589, 89.75241766847068, 71.82376919999254, 4.1051571740623425, 36.84741831361176, 76.46798511801258, 44.78338436580554, 30.461391733741166, 30.177762588184244]	[50.00476890938705, 50.013089696405885, 50.01684403653608, 50.03017241728453, 49.8300186043652, 3.8978466791273774, 31.95991550743275, 50.217502101981594, 33.05401602806, 46.81927940795966, 49.3760602467692]	[10.49475280683613, 11.575201046563603, 25.613821068067388, 38.63000734202724, 19.93474508044033, 2.025323386343849, 41.280975318986506, 32.01383562182133, 33.89414459565285, 61.700880400121186, 82.39630448200298]	
1.0	[30.576575678955926, 34.94993386286773, 47.87354831265564, 49.40985546851302, 38.13561647146446, 7.917026322954005, 28.27516040355766, 28.58437939492508, 26.116071446932683, 49.93187943875698, 67.33697643153691]	[0.41365161623664587, 1.7528836453420622, 30.35941986685686, 57.56777607949037, 37.986585076298496, 18.015230166795376, 75.00995508561802, 65.17184577327961, 69.94165211758975, 96.31513542098189, 99.27211073568311]	[30.07498830887063, 30.348563423875653, 39.39231187896817, 50.44299474851679, 9.55644040884537, 0.22653808771017558, 45.56365803832521, 50.59470016538638, 54.46390273783936, 68.74178773399461, 69.83031500103584]	[20.382570472523394, 21.123131191620935, 32.852513417584895, 47.900266813024025, 24.03292572201794, 8.43169224980978, 60.874261203779746, 70.58540475659089, 68.16926211316441, 76.73615519079829, 78.55361175611375]	[72.72813291506512, 78.52027838756122, 88.83772819518589, 89.75241766847068, 71.82376919999254, 4.1051571740623425, 36.84741831361176, 76.46798511801258, 44.78338436580554, 30.461391733741166, 30.177762588184244]	[50.00476890938705, 50.013089696405885, 50.01684403653608, 50.03017241728453, 49.8300186043652, 3.8978466791273774, 31.95991550743275, 50.217502101981594, 33.05401602806, 46.81927940795966, 49.3760602467692]	[10.49475280683613, 11.575201046563603, 25.613821068067388, 38.63000734202724, 19.93474508044033, 2.025323386343849, 41.280975318986506, 32.01383562182133, 33.89414459565285, 61.700880400121186, 82.39630448200298]	
2.0	[30.576575678955926, 34.94993386286773, 47.87354831265564, 49.40985546851302, 38.13561647146446, 7.917026322954005, 28.27516040355766, 28.58437939492508, 26.116071446932683, 49.93187943875698, 67.33697643153691]	[0.41365161623664587, 1.7528836453420622, 30.35941986685686, 57.56777607949037, 37.986585076298496, 18.015230166795376, 75.00995508561802, 65.17184577327961, 69.94165211758975, 96.31513542098189, 99.27211073568311]	[30.07498830887063, 30.348563423875653, 39.39231187896817, 50.44299474851679, 9.55644040884537, 0.22653808771017558, 45.56365803832521, 50.59470016538638, 54.46390273783936, 68.74178773399461, 69.83031500103584]	[20.382570472523394, 21.123131191620935, 32.852513417584895, 47.900266813024025, 24.03292572201794, 8.43169224980978, 60.874261203779746, 70.58540475659089, 68.16926211316441, 76.73615519079829, 78.55361175611375]	[72.72813291506512, 78.52027838756122, 88.83772819518589, 89.75241766847068, 71.82376919999254, 4.1051571740623425, 36.84741831361176, 76.46798511801258, 44.78338436580554, 30.461391733741166, 30.177762588184244]	[50.00476890938705, 50.013089696405885, 50.01684403653608, 50.03017241728453, 49.8300186043652, 3.8978466791273774, 31.95991550743275, 50.217502101981594, 33.05401602806, 46.81927940795966, 49.3760602467692]	[10.49475280683613, 11.575201046563603, 25.613821068067388, 38.63000734202724, 19.93474508044033, 2.025323386343849, 41.280975318986506, 32.01383562182133, 33.89414459565285, 61.700880400121186, 82.39630448200298]	
3.0	[30.576575678955926, 34.94993386286773, 47.87354831265564, 49.40985546851302, 38.13561647146446, 7.917026322954005, 28.27516040355766, 28.58437939492508, 26.116071446932683, 49.93187943875698, 67.33697643153691]	[0.41365161623664587, 1.7528836453420622, 30.35941986685686, 57.56777607949037, 37.986585076298496, 18.015230166795376, 75.00995508561802, 65.17184577327961, 69.94165211758975, 96.31513542098189, 99.27211073568311]	[30.07498830887063, 30.348563423875653, 39.39231187896817, 50.44299474851679, 9.55644040884537, 0.22653808771017558, 45.56365803832521, 50.59470016538638, 54.46390273783936, 68.74178773399461, 69.83031500103584]	[20.382570472523394, 21.123131191620935, 32.852513417584895, 47.900266813024025, 24.03292572201794, 8.43169224980978, 60.874261203779746, 70.58540475659089, 68.16926211316441, 76.73615519079829, 78.55361175611375]	[72.72813291506512, 78.52027838756122, 88.83772819518589, 89.75241766847068, 71.82376919999254, 4.1051571740623425, 36.84741831361176, 76.46798511801258, 44.78338436580554, 30.461391733741166, 30.177762588184244]	[50.00476890938705, 50.013089696405885, 50.01684403653608, 50.03017241728453, 49.8300186043652, 3.8978466791273774, 31.95991550743275, 50.217502101981594, 33.05401602806, 46.81927940795966, 49.3760602467692]	[10.49475280683613, 11.575201046563603, 25.613821068067388, 38.63000734202724, 19.93474508044033, 2.025323386343849, 41.280975318986506, 32.01383562182133, 33.89414459565285, 61.700880400121186, 82.39630448200298]	
4.0	[30.576575678955926, 34.94993386286773, 47.87354831265564, 49.40985546851302, 38.13561647146446, 7.917026322954005, 28.27516040355766, 28.58437939492508, 26.116071446932683, 49.93187943875698, 67.33697643153691]	[0.41365161623664587, 1.7528836453420622, 30.35941986685686, 57.56777607949037, 37.986585076298496, 18.015230166795376, 75.00995508561802, 65.17184577327961, 69.94165211758975, 96.31513542098189, 99.27211073568311]	[30.07498830887063, 30.348563423875653, 39.39231187896817, 50.44299474851679, 9.55644040884537, 0.22653808771017558, 45.56365803832521, 50.59470016538638, 54.46390273783936, 68.74178773399461, 69.83031500103584]	[20.382570472523394, 21.123131191620935, 32.852513417584895, 47.900266813024025, 24.03292572201794, 8.43169224980978, 60.874261203779746, 70.58540475659089, 68.16926211316441, 76.73615519079829, 78.55361175611375]	[72.72813291506512, 78.52027838756122, 88.83772819518589, 89.75241766847068, 71.82376919999254, 4.1051571740623425, 36.84741831361176, 76.46798511801258, 44.78338436580554, 30.461391733741166, 30.177762588184244]	[50.00476890938705, 50.013089696405885, 50.01684403653608, 50.03017241728453, 49.8300186043652, 3.8978466791273774, 31.95991550743275, 50.217502101981594, 33.05401602806, 46.81927940795966, 49.3760602467692]	[10.49475280683613, 11.575201046563603, 25.613821068067388, 38.63000734202724, 19.93474508044033, 2.025323386343849, 41.280975318986506, 32.01383562182133, 33.89414459565285, 61.700880400121186, 82.39630448200298]	
