-5.0	[78.66135803163054, 79.18710154731271, 86.57412432904836, 85.31078214923991, 3.2952611080331895, 0.22653808771017558, 89.42133025218115, 50.395972329754834, 75.75210247070349, 79.78197427033685, 80.33681128518153]	
-4.0	[78.66135803163054, 79.18710154731271, 86.57412432904836, 85.31078214923991, 3.2952611080331895, 0.22653808771017558, 89.42133025218115, 50.395972329754834, 75.75210247070349, 79.78197427033685, 80.33681128518153]	
-3.0	[78.66135803163054, 79.18710154731271, 86.57412432904836, 85.31078214923991, 3.2952611080331895, 0.22653808771017558, 89.42133025218115, 50.395972329754834, 75.75210247070349, 79.78197427033685, 80.33681128518153]	
-2.0	[78.66135803163054, 79.18710154731271, 86.57412432904836, 85.31078214923991, 3.2952611080331895, 0.22653808771017558, 89.42133025218115, 50.395972329754834, 75.75210247070349, 79.78197427033685, 80.33681128518153]	
-1.0	[78.66135803163054, 79.18710154731271, 86.57412432904836, 85.31078214923991, 3.2952611080331895, 0.22653808771017558, 89.42133025218115, 50.395972329754834, 75.75210247070349, 79.78197427033685, 80.33681128518153]	
0.0	[78.66135803163054, 79.18710154731271, 86.57412432904836, 85.31078214923991, 3.2952611080331895, 0.22653808771017558, 89.42133025218115, 50.395972329754834, 75.75210247070349, 79.78197427033685, 80.33681128518153]	
1.0	[78.66135803163054, 79.18710154731271, 86.57412432904836, 85.31078214923991, 3.2952611080331895, 0.22653808771017558, 89.42133025218115, 50.395972329754834, 75.75210247070349, 79.78197427033685, 80.33681128518153]	
2.0	[78.66135803163054, 79.18710154731271, 86.57412432904836, 85.31078214923991, 3.2952611080331895, 0.22653808771017558, 89.42133025218115, 50.395972329754834, 75.75210247070349, 79.78197427033685, 80.33681128518153]	
3.0	[78.66135803163054, 79.18710154731271, 86.57412432904836, 85.31078214923991, 3.2952611080331895, 0.22653808771017558, 89.42133025218115, 50.395972329754834, 75.75210247070349, 79.78197427033685, 80.33681128518153]	
4.0	[78.66135803163054, 79.18710154731271, 86.57412432904836, 85.31078214923991, 3.2952611080331895, 0.22653808771017558, 89.42133025218115, 50.395972329754834, 75.75210247070349, 79.78197427033685, 80.33681128518153]	
5.0	[78.66135803163054, 79.18710154731271, 86.57412432904836, 85.31078214923991, 3.2952611080331895, 0.22653808771017558, 89.42133025218115, 50.395972329754834, 75.75210247070349, 79.78197427033685, 80.33681128518153]	
