-5.0	[89.37282809460181, 89.75497955293295, 89.95285335907151, 92.38272517245196, 9.207391334512774, 4.1051571740623425, 95.37029964156028, 44.18414995253103, 80.80223241935366, 88.8326562235935, 89.57144543130913]	
-4.0	[89.37282809460181, 89.75497955293295, 89.95285335907151, 92.38272517245196, 9.207391334512774, 4.1051571740623425, 95.37029964156028, 44.18414995253103, 80.80223241935366, 88.8326562235935, 89.57144543130913]	
-3.0	[89.37282809460181, 89.75497955293295, 89.95285335907151, 92.38272517245196, 9.207391334512774, 4.1051571740623425, 95.37029964156028, 44.18414995253103, 80.80223241935366, 88.8326562235935, 89.57144543130913]	
-2.0	[89.37282809460181, 89.75497955293295, 89.95285335907151, 92.38272517245196, 9.207391334512774, 4.1051571740623425, 95.37029964156028, 44.18414995253103, 80.80223241935366, 88.8326562235935, 89.57144543130913]	
-1.0	[89.37282809460181, 89.75497955293295, 89.95285335907151, 92.38272517245196, 9.207391334512774, 4.1051571740623425, 95.37029964156028, 44.18414995253103, 80.80223241935366, 88.8326562235935, 89.57144543130913]	
0.0	[89.37282809460181, 89.75497955293295, 89.95285335907151, 92.38272517245196, 9.207391334512774, 4.1051571740623425, 95.37029964156028, 44.18414995253103, 80.80223241935366, 88.8326562235935, 89.57144543130913]	
1.0	[89.37282809460181, 89.75497955293295, 89.95285335907151, 92.38272517245196, 9.207391334512774, 4.1051571740623425, 95.37029964156028, 44.18414995253103, 80.80223241935366, 88.8326562235935, 89.57144543130913]	
2.0	[89.37282809460181, 89.75497955293295, 89.95285335907151, 92.38272517245196, 9.207391334512774, 4.1051571740623425, 95.37029964156028, 44.18414995253103, 80.80223241935366, 88.8326562235935, 89.57144543130913]	
3.0	[89.37282809460181, 89.75497955293295, 89.95285335907151, 92.38272517245196, 9.207391334512774, 4.1051571740623425, 95.37029964156028, 44.18414995253103, 80.80223241935366, 88.8326562235935, 89.57144543130913]	
4.0	[89.37282809460181, 89.75497955293295, 89.95285335907151, 92.38272517245196, 9.207391334512774, 4.1051571740623425, 95.37029964156028, 44.18414995253103, 80.80223241935366, 88.8326562235935, 89.57144543130913]	
5.0	[89.37282809460181, 89.75497955293295, 89.95285335907151, 92.38272517245196, 9.207391334512774, 4.1051571740623425, 95.37029964156028, 44.18414995253103, 80.80223241935366, 88.8326562235935, 89.57144543130913]	
