-5.0	[59.2402523813732, 59.70532369572776, 61.89248990937519, 80.49995493803841, 10.66238847350049, 18.015230166795376, 95.13376413511028, 51.03648091850202, 58.898123094016896, 60.34388618016455, 61.25351777661562]	
-4.0	[59.2402523813732, 59.70532369572776, 61.89248990937519, 80.49995493803841, 10.66238847350049, 18.015230166795376, 95.13376413511028, 51.03648091850202, 58.898123094016896, 60.34388618016455, 61.25351777661562]	
-3.0	[59.2402523813732, 59.70532369572776, 61.89248990937519, 80.49995493803841, 10.66238847350049, 18.015230166795376, 95.13376413511028, 51.03648091850202, 58.898123094016896, 60.34388618016455, 61.25351777661562]	
-2.0	[59.2402523813732, 59.70532369572776, 61.89248990937519, 80.49995493803841, 10.66238847350049, 18.015230166795376, 95.13376413511028, 51.03648091850202, 58.898123094016896, 60.34388618016455, 61.25351777661562]	
-1.0	[59.2402523813732, 59.70532369572776, 61.89248990937519, 80.49995493803841, 10.66238847350049, 18.015230166795376, 95.13376413511028, 51.03648091850202, 58.898123094016896, 60.34388618016455, 61.25351777661562]	
0.0	[59.2402523813732, 59.70532369572776, 61.89248990937519, 80.49995493803841, 10.66238847350049, 18.015230166795376, 95.13376413511028, 51.03648091850202, 58.898123094016896, 60.34388618016455, 61.25351777661562]	
1.0	[59.2402523813732, 59.70532369572776, 61.89248990937519, 80.49995493803841, 10.66238847350049, 18.015230166795376, 95.13376413511028, 51.03648091850202, 58.898123094016896, 60.34388618016455, 61.25351777661562]	
2.0	[59.2402523813732, 59.70532369572776, 61.89248990937519, 80.49995493803841, 10.66238847350049, 18.015230166795376, 95.13376413511028, 51.03648091850202, 58.898123094016896, 60.34388618016455, 61.25351777661562]	
3.0	[59.2402523813732, 59.70532369572776, 61.89248990937519, 80.49995493803841, 10.66238847350049, 18.015230166795376, 95.13376413511028, 51.03648091850202, 58.898123094016896, 60.34388618016455, 61.25351777661562]	
4.0	[59.2402523813732, 59.70532369572776, 61.89248990937519, 80.49995493803841, 10.66238847350049, 18.015230166795376, 95.13376413511028, 51.03648091850202, 58.898123094016896, 60.34388618016455, 61.25351777661562]	
5.0	[59.2402523813732, 59.70532369572776, 61.89248990937519, 80.49995493803841, 10.66238847350049, 18.015230166795376, 95.13376413511028, 51.03648091850202, 58.898123094016896, 60.34388618016455, 61.25351777661562]	
