-5.0	[49.9527275588327, 50.71818604835481, 63.64960755839062, 92.64270265076317, 10.111324313110734, 7.917026322954005, 86.05446288926393, 34.65574012338294, 48.382544859165044, 50.046108773220524, 50.4515613534524]	
-4.0	[49.9527275588327, 50.71818604835481, 63.64960755839062, 92.64270265076317, 10.111324313110734, 7.917026322954005, 86.05446288926393, 34.65574012338294, 48.382544859165044, 50.046108773220524, 50.4515613534524]	
-3.0	[49.9527275588327, 50.71818604835481, 63.64960755839062, 92.64270265076317, 10.111324313110734, 7.917026322954005, 86.05446288926393, 34.65574012338294, 48.382544859165044, 50.046108773220524, 50.4515613534524]	
-2.0	[49.9527275588327, 50.71818604835481, 63.64960755839062, 92.64270265076317, 10.111324313110734, 7.917026322954005, 86.05446288926393, 34.65574012338294, 48.382544859165044, 50.046108773220524, 50.4515613534524]	
-1.0	[49.9527275588327, 50.71818604835481, 63.64960755839062, 92.64270265076317, 10.111324313110734, 7.917026322954005, 86.05446288926393, 34.65574012338294, 48.382544859165044, 50.046108773220524, 50.4515613534524]	
0.0	[49.9527275588327, 50.71818604835481, 63.64960755839062, 92.64270265076317, 10.111324313110734, 7.917026322954005, 86.05446288926393, 34.65574012338294, 48.382544859165044, 50.046108773220524, 50.4515613534524]	
1.0	[49.9527275588327, 50.71818604835481, 63.64960755839062, 92.64270265076317, 10.111324313110734, 7.917026322954005, 86.05446288926393, 34.65574012338294, 48.382544859165044, 50.046108773220524, 50.4515613534524]	
2.0	[49.9527275588327, 50.71818604835481, 63.64960755839062, 92.64270265076317, 10.111324313110734, 7.917026322954005, 86.05446288926393, 34.65574012338294, 48.382544859165044, 50.046108773220524, 50.4515613534524]	
3.0	[49.9527275588327, 50.71818604835481, 63.64960755839062, 92.64270265076317, 10.111324313110734, 7.917026322954005, 86.05446288926393, 34.65574012338294, 48.382544859165044, 50.046108773220524, 50.4515613534524]	
4.0	[49.9527275588327, 50.71818604835481, 63.64960755839062, 92.64270265076317, 10.111324313110734, 7.917026322954005, 86.05446288926393, 34.65574012338294, 48.382544859165044, 50.046108773220524, 50.4515613534524]	
5.0	[49.9527275588327, 50.71818604835481, 63.64960755839062, 92.64270265076317, 10.111324313110734, 7.917026322954005, 86.05446288926393, 34.65574012338294, 48.382544859165044, 50.046108773220524, 50.4515613534524]	
