-5.0	[80.00002340428527, 79.99997039396017, 80.0000282094764, 80.00079637499098, 79.53479767124841, 5.402817592940622, 14.00972444109105, 14.713284611535954, 32.889900611781265, 23.28659875134563, 22.544463440102604]	
-4.0	[80.00002340428527, 79.99997039396017, 80.0000282094764, 80.00079637499098, 79.53479767124841, 5.402817592940622, 14.00972444109105, 14.713284611535954, 32.889900611781265, 23.28659875134563, 22.544463440102604]	
-3.0	[80.00002340428527, 79.99997039396017, 80.0000282094764, 80.00079637499098, 79.53479767124841, 5.402817592940622, 14.00972444109105, 14.713284611535954, 32.889900611781265, 23.28659875134563, 22.544463440102604]	
-2.0	[80.00002340428527, 79.99997039396017, 80.0000282094764, 80.00079637499098, 79.53479767124841, 5.402817592940622, 14.00972444109105, 14.713284611535954, 32.889900611781265, 23.28659875134563, 22.544463440102604]	
-1.0	[80.00002340428527, 79.99997039396017, 80.0000282094764, 80.00079637499098, 79.53479767124841, 5.402817592940622, 14.00972444109105, 14.713284611535954, 32.889900611781265, 23.28659875134563, 22.544463440102604]	
0.0	[80.00002340428527, 79.99997039396017, 80.0000282094764, 80.00079637499098, 79.53479767124841, 5.402817592940622, 14.00972444109105, 14.713284611535954, 32.889900611781265, 23.28659875134563, 22.544463440102604]	
1.0	[80.00002340428527, 79.99997039396017, 80.0000282094764, 80.00079637499098, 79.53479767124841, 5.402817592940622, 14.00972444109105, 14.713284611535954, 32.889900611781265, 23.28659875134563, 22.544463440102604]	
2.0	[80.00002340428527, 79.99997039396017, 80.0000282094764, 80.00079637499098, 79.53479767124841, 5.402817592940622, 14.00972444109105, 14.713284611535954, 32.889900611781265, 23.28659875134563, 22.544463440102604]	
3.0	[80.00002340428527, 79.99997039396017, 80.0000282094764, 80.00079637499098, 79.53479767124841, 5.402817592940622, 14.00972444109105, 14.713284611535954, 32.889900611781265, 23.28659875134563, 22.544463440102604]	
4.0	[80.00002340428527, 79.99997039396017, 80.0000282094764, 80.00079637499098, 79.53479767124841, 5.402817592940622, 14.00972444109105, 14.713284611535954, 32.889900611781265, 23.28659875134563, 22.544463440102604]	
5.0	[80.00002340428527, 79.99997039396017, 80.0000282094764, 80.00079637499098, 79.53479767124841, 5.402817592940622, 14.00972444109105, 14.713284611535954, 32.889900611781265, 23.28659875134563, 22.544463440102604]	
