-5.0	[79.94867539278745, 79.98815516439836, 79.99112151465765, 79.97948695607168, 79.48835818838569, 0.0975812918939416, 6.0500342935333, 11.885012697896236, 36.20608113647704, 21.783662147342582, 22.31946112742587]	
-4.0	[79.94867539278745, 79.98815516439836, 79.99112151465765, 79.97948695607168, 79.48835818838569, 0.0975812918939416, 6.0500342935333, 11.885012697896236, 36.20608113647704, 21.783662147342582, 22.31946112742587]	
-3.0	[79.94867539278745, 79.98815516439836, 79.99112151465765, 79.97948695607168, 79.48835818838569, 0.0975812918939416, 6.0500342935333, 11.885012697896236, 36.20608113647704, 21.783662147342582, 22.31946112742587]	
-2.0	[79.94867539278745, 79.98815516439836, 79.99112151465765, 79.97948695607168, 79.48835818838569, 0.0975812918939416, 6.0500342935333, 11.885012697896236, 36.20608113647704, 21.783662147342582, 22.31946112742587]	
-1.0	[79.94867539278745, 79.98815516439836, 79.99112151465765, 79.97948695607168, 79.48835818838569, 0.0975812918939416, 6.0500342935333, 11.885012697896236, 36.20608113647704, 21.783662147342582, 22.31946112742587]	
0.0	[79.94867539278745, 79.98815516439836, 79.99112151465765, 79.97948695607168, 79.48835818838569, 0.0975812918939416, 6.0500342935333, 11.885012697896236, 36.20608113647704, 21.783662147342582, 22.31946112742587]	
1.0	[79.94867539278745, 79.98815516439836, 79.99112151465765, 79.97948695607168, 79.48835818838569, 0.0975812918939416, 6.0500342935333, 11.885012697896236, 36.20608113647704, 21.783662147342582, 22.31946112742587]	
2.0	[79.94867539278745, 79.98815516439836, 79.99112151465765, 79.97948695607168, 79.48835818838569, 0.0975812918939416, 6.0500342935333, 11.885012697896236, 36.20608113647704, 21.783662147342582, 22.31946112742587]	
3.0	[79.94867539278745, 79.98815516439836, 79.99112151465765, 79.97948695607168, 79.48835818838569, 0.0975812918939416, 6.0500342935333, 11.885012697896236, 36.20608113647704, 21.783662147342582, 22.31946112742587]	
4.0	[79.94867539278745, 79.98815516439836, 79.99112151465765, 79.97948695607168, 79.48835818838569, 0.0975812918939416, 6.0500342935333, 11.885012697896236, 36.20608113647704, 21.783662147342582, 22.31946112742587]	
5.0	[79.94867539278745, 79.98815516439836, 79.99112151465765, 79.97948695607168, 79.48835818838569, 0.0975812918939416, 6.0500342935333, 11.885012697896236, 36.20608113647704, 21.783662147342582, 22.31946112742587]	
