-5.0	[40.111707917683965, 40.0149101871967, 40.005118311092644, 40.00216178277228, 39.9955323711667, 0.869831076062975, 48.9729853015355, 51.48530583843262, 50.701910521762194, 54.06706307999764, 52.68569128826645]	
-4.0	[40.111707917683965, 40.0149101871967, 40.005118311092644, 40.00216178277228, 39.9955323711667, 0.869831076062975, 48.9729853015355, 51.48530583843262, 50.701910521762194, 54.06706307999764, 52.68569128826645]	
-3.0	[40.111707917683965, 40.0149101871967, 40.005118311092644, 40.00216178277228, 39.9955323711667, 0.869831076062975, 48.9729853015355, 51.48530583843262, 50.701910521762194, 54.06706307999764, 52.68569128826645]	
-2.0	[40.111707917683965, 40.0149101871967, 40.005118311092644, 40.00216178277228, 39.9955323711667, 0.869831076062975, 48.9729853015355, 51.48530583843262, 50.701910521762194, 54.06706307999764, 52.68569128826645]	
-1.0	[40.111707917683965, 40.0149101871967, 40.005118311092644, 40.00216178277228, 39.9955323711667, 0.869831076062975, 48.9729853015355, 51.48530583843262, 50.701910521762194, 54.06706307999764, 52.68569128826645]	
0.0	[40.111707917683965, 40.0149101871967, 40.005118311092644, 40.00216178277228, 39.9955323711667, 0.869831076062975, 48.9729853015355, 51.48530583843262, 50.701910521762194, 54.06706307999764, 52.68569128826645]	
1.0	[40.111707917683965, 40.0149101871967, 40.005118311092644, 40.00216178277228, 39.9955323711667, 0.869831076062975, 48.9729853015355, 51.48530583843262, 50.701910521762194, 54.06706307999764, 52.68569128826645]	
2.0	[40.111707917683965, 40.0149101871967, 40.005118311092644, 40.00216178277228, 39.9955323711667, 0.869831076062975, 48.9729853015355, 51.48530583843262, 50.701910521762194, 54.06706307999764, 52.68569128826645]	
3.0	[40.111707917683965, 40.0149101871967, 40.005118311092644, 40.00216178277228, 39.9955323711667, 0.869831076062975, 48.9729853015355, 51.48530583843262, 50.701910521762194, 54.06706307999764, 52.68569128826645]	
4.0	[40.111707917683965, 40.0149101871967, 40.005118311092644, 40.00216178277228, 39.9955323711667, 0.869831076062975, 48.9729853015355, 51.48530583843262, 50.701910521762194, 54.06706307999764, 52.68569128826645]	
5.0	[40.111707917683965, 40.0149101871967, 40.005118311092644, 40.00216178277228, 39.9955323711667, 0.869831076062975, 48.9729853015355, 51.48530583843262, 50.701910521762194, 54.06706307999764, 52.68569128826645]	
