-5.0	[79.02761407241388, 79.28972959384409, 80.39873201371401, 83.40241451745504, 18.405049552449128, 8.43169224980978, 95.06904413871918, 45.04284558369699, 74.68937589915487, 79.78496024355172, 79.99437022855886]	
-4.0	[79.02761407241388, 79.28972959384409, 80.39873201371401, 83.40241451745504, 18.405049552449128, 8.43169224980978, 95.06904413871918, 45.04284558369699, 74.68937589915487, 79.78496024355172, 79.99437022855886]	
-3.0	[79.02761407241388, 79.28972959384409, 80.39873201371401, 83.40241451745504, 18.405049552449128, 8.43169224980978, 95.06904413871918, 45.04284558369699, 74.68937589915487, 79.78496024355172, 79.99437022855886]	
-2.0	[79.02761407241388, 79.28972959384409, 80.39873201371401, 83.40241451745504, 18.405049552449128, 8.43169224980978, 95.06904413871918, 45.04284558369699, 74.68937589915487, 79.78496024355172, 79.99437022855886]	
-1.0	[79.02761407241388, 79.28972959384409, 80.39873201371401, 83.40241451745504, 18.405049552449128, 8.43169224980978, 95.06904413871918, 45.04284558369699, 74.68937589915487, 79.78496024355172, 79.99437022855886]	
0.0	[79.02761407241388, 79.28972959384409, 80.39873201371401, 83.40241451745504, 18.405049552449128, 8.43169224980978, 95.06904413871918, 45.04284558369699, 74.68937589915487, 79.78496024355172, 79.99437022855886]	
1.0	[79.02761407241388, 79.28972959384409, 80.39873201371401, 83.40241451745504, 18.405049552449128, 8.43169224980978, 95.06904413871918, 45.04284558369699, 74.68937589915487, 79.78496024355172, 79.99437022855886]	
2.0	[79.02761407241388, 79.28972959384409, 80.39873201371401, 83.40241451745504, 18.405049552449128, 8.43169224980978, 95.06904413871918, 45.04284558369699, 74.68937589915487, 79.78496024355172, 79.99437022855886]	
3.0	[79.02761407241388, 79.28972959384409, 80.39873201371401, 83.40241451745504, 18.405049552449128, 8.43169224980978, 95.06904413871918, 45.04284558369699, 74.68937589915487, 79.78496024355172, 79.99437022855886]	
4.0	[79.02761407241388, 79.28972959384409, 80.39873201371401, 83.40241451745504, 18.405049552449128, 8.43169224980978, 95.06904413871918, 45.04284558369699, 74.68937589915487, 79.78496024355172, 79.99437022855886]	
5.0	[79.02761407241388, 79.28972959384409, 80.39873201371401, 83.40241451745504, 18.405049552449128, 8.43169224980978, 95.06904413871918, 45.04284558369699, 74.68937589915487, 79.78496024355172, 79.99437022855886]	
